gravity_y,phase_p_amb,phase_Tvap,time_laser_power,time_scan_speed,laser_radius,time_total_time,mesh_width,mesh_patching_height,metal_elec_resistivity,time_initial_pos,mesh_track_length,emissivity,metal_T_ambient,h_convection,phase_beta_r
9.81,101325,2792,300,0.75,4.40E-05,2.50E-03,5.00E-04,3.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,10,0.18
3.7278,600,1967.86,300,0.75,4.40E-05,2.50E-03,5.00E-04,3.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.4
1.6677,1.00E-04,1036.71,300,0.75,4.40E-05,2.50E-03,5.00E-04,3.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81E-06,1.00E-04,1036.71,300,0.75,4.40E-05,2.50E-03,5.00E-04,3.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81,101325,2792,500,0.7,5.00E-05,3.00E-03,8.00E-04,5.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,10,0.18
3.7278,600,1967.86,500,0.7,5.00E-05,3.00E-03,8.00E-04,5.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.4
1.6677,1.00E-04,1036.71,500,0.7,5.00E-05,3.00E-03,8.00E-04,5.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81E-06,1.00E-04,1036.71,500,0.7,5.00E-05,3.00E-03,8.00E-04,5.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81,101325,2792,520,0.45,4.40E-05,6.50E-03,8.00E-04,8.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,10,0.18
3.7278,600,1967.86,520,0.45,4.40E-05,6.50E-03,8.00E-04,8.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.4
1.6677,1.00E-04,1036.71,520,0.45,4.40E-05,6.50E-03,8.00E-04,8.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81E-06,1.00E-04,1036.71,520,0.45,4.40E-05,6.50E-03,8.00E-04,8.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,0,0.8
9.81,101325.0,2792.0,370,0.5,5.0E-05,4E-03,8.00E-04,5.00E-04,4.60E-07,2.50E-04,2.00E-03,0.15,300,10,0.18
